mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09942359924316406,0.007574307445963988,0.012583160400390625,0.001009424751203977,20,{'n_estimators': 20},0.6383466399412976,0.643127094626972,0.6539803285814256,0.7352554135678389,0.6738543124830023,0.6689127578401074,0.03534949042237451,10
0.183837890625,0.007161649607326285,0.02076554298400879,0.0024659634765983466,40,{'n_estimators': 40},0.6115529055226432,0.6858306390987212,0.671071271128524,0.7333673013888848,0.688220107110382,0.6780084448498311,0.03922889458756,8
0.25926551818847654,0.022690200820795453,0.025107574462890626,0.0024264342088731843,60,{'n_estimators': 60},0.6269180360132833,0.6787339139709702,0.7000270110790878,0.7215160487642109,0.6538862754572372,0.6762162570569579,0.03332957968074132,9
0.33265228271484376,0.028869055996755096,0.030359458923339844,0.0018085500291809844,80,{'n_estimators': 80},0.6330874913732023,0.6893228385503243,0.6956178665745163,0.7237921375735544,0.6719851637949961,0.6827610995733187,0.029918178751452872,6
0.42209439277648925,0.02583911020265725,0.04042773246765137,0.0033772593448097685,100,{'n_estimators': 100},0.6304926534708719,0.6902219118624514,0.6788694842389811,0.7450397718550275,0.6710200857010216,0.6831287814256708,0.03692859955667888,5
0.5310683250427246,0.04024361834285366,0.0488396167755127,0.00450156611963374,120,{'n_estimators': 120},0.6274074643345955,0.6968045563881908,0.6965367013920531,0.7357192162597578,0.6724294364863841,0.6857794749721962,0.03554367244333313,3
0.6496254444122315,0.033241233457595415,0.05866770744323731,0.004045247671606529,140,{'n_estimators': 140},0.6337495806325901,0.6935160829213198,0.7051623689311521,0.7408095776719514,0.66658382451296,0.6879642869339948,0.03609869739735726,2
0.8397677898406982,0.11410509574689778,0.09431295394897461,0.039857450404664055,160,{'n_estimators': 160},0.6251876944707682,0.7008070247190137,0.6790870211799119,0.7456559215771943,0.6711195812120523,0.684371448631788,0.039324721755434326,4
0.931849193572998,0.050586540801907345,0.07985692024230957,0.004758454217290657,180,{'n_estimators': 180},0.639306905302661,0.6967973650863524,0.6942948464340699,0.7369702226491701,0.6771636721743222,0.6889066023293151,0.03162099069742241,1
0.9322357177734375,0.05465321749074163,0.0882646083831787,0.01025707895212378,200,{'n_estimators': 200},0.6207114474818938,0.6906947302779174,0.6948545866289746,0.7278056577683074,0.668365608701073,0.6804864061716331,0.03541108719049846,7
