mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004401636123657226,0.000801055833822774,0.006998586654663086,0.0014160071772367578,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",-0.4203660173649826,-0.7370600927005755,-0.8207063722117554,-0.6212604699678734,-0.048773364599615565,-0.5296332633689604,0.2754307762400036,50
0.0038005352020263673,0.0007489448802287304,0.005199289321899414,0.0004003861266866957,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.06346967660721259,0.05134892058248863,-0.23478852088457103,-0.17402497595095556,0.08098671546510883,-0.042601636836143306,0.13383557379392033,48
0.003611183166503906,0.0005163794309142131,0.005001497268676758,0.0006420508025122745,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.0466005766892158,0.0740577600238721,-0.11952269722294129,-0.10511071918639225,0.18040094927359462,0.015285173915469796,0.11346049867467681,45
0.003206634521484375,0.00039122417250981467,0.0049708843231201175,0.0006199557671151311,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.0805236562496564,0.09736065328165344,-0.09473149613671428,-0.027017549294401588,0.15625249311030232,0.04247755144209926,0.09062040617214537,38
0.0033945560455322264,0.00047135080299109055,0.005011081695556641,3.0598310139166126e-05,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.1687176743629587,0.12655228045332234,-0.15107109943784747,0.002577334572203771,0.21496610183131815,0.0723484583563911,0.13217350783955092,15
0.003519010543823242,0.0004630275019349476,0.004997062683105469,1.1150651132529303e-05,euclidean,11,"{'metric': 'euclidean', 'n_neighbors': 11}",0.17363846355412726,0.1415179994420065,-0.06602342970198838,0.009397630345614583,0.1406337363711918,0.07983288000219035,0.09223499669402412,12
0.0033979415893554688,0.0005074578463675778,0.0051958560943603516,0.0007344548161351087,euclidean,13,"{'metric': 'euclidean', 'n_neighbors': 13}",0.16309283058279966,0.12678442939367351,-0.03841271655286138,0.03532393200408834,0.11360040656588577,0.08007777639871719,0.07244264061519143,11
0.0032112598419189453,0.0003894353622213403,0.0047992229461669925,0.00038154534544081257,euclidean,15,"{'metric': 'euclidean', 'n_neighbors': 15}",0.1249821763249157,0.11221284759541106,-0.05494970617908024,0.07064784374341126,0.10832652911980267,0.0722439381208921,0.06612345958010817,16
0.0036077976226806642,0.00049245869496052,0.004594326019287109,0.00048726110788930714,euclidean,17,"{'metric': 'euclidean', 'n_neighbors': 17}",0.10279566749947588,0.11323353830635785,-0.0013860855866747457,0.06066383488040905,0.11412521736258197,0.07788643449243,0.04419024190481416,13
0.0033935546875,0.0004776730268451584,0.0050086498260498045,1.9341845908645004e-05,euclidean,19,"{'metric': 'euclidean', 'n_neighbors': 19}",0.09716775239174402,0.08461358783615147,0.00869832524831926,0.04959131304141817,0.10642680439359475,0.06929955658224554,0.03591799694754735,17
0.0032088756561279297,0.00037636026198706595,0.00479736328125,0.0003969697150284793,euclidean,21,"{'metric': 'euclidean', 'n_neighbors': 21}",0.08361850103679902,0.06192795553744246,0.00507137356683951,0.04699422302415823,0.0983922022490682,0.05920085108286148,0.0323067263551515,27
0.0034034252166748047,0.00046959454985087397,0.005396652221679688,0.00047884626086089414,euclidean,23,"{'metric': 'euclidean', 'n_neighbors': 23}",0.09014493579954685,0.056767219049855266,0.004134370245204799,0.03489261050455683,0.07689085465594903,0.05256599805102256,0.030592471846281274,30
0.003017234802246094,4.910529157219248e-05,0.00498509407043457,3.0438499514530642e-05,euclidean,25,"{'metric': 'euclidean', 'n_neighbors': 25}",0.0806769014954648,0.049207611153071595,-0.003231397159415339,0.049512303584905215,0.09374659326863977,0.05398240246853321,0.03349622794372165,29
0.0034001827239990234,0.0004910840675900323,0.0045967578887939455,0.0004887711918632482,euclidean,27,"{'metric': 'euclidean', 'n_neighbors': 27}",0.067547644576884,0.04137607400144405,-0.011895769999277661,0.05225115194616814,0.07697225420708409,0.04525027094646052,0.031090670064554134,34
0.003185749053955078,0.00040959404279181176,0.005413055419921875,0.00045918940505000616,euclidean,29,"{'metric': 'euclidean', 'n_neighbors': 29}",0.07668489314588811,0.022178429071567307,-0.009849705659179975,0.05774860323641473,0.06455607447693967,0.04226365885432597,0.03175145944143703,39
0.004491615295410156,0.0017899258361425204,0.010573434829711913,0.009032565709619819,euclidean,31,"{'metric': 'euclidean', 'n_neighbors': 31}",0.0780022488377482,0.026246917254135527,0.0009714263257741829,0.06644960183105841,0.06018961108719201,0.046371961067181666,0.02849821102613426,32
0.006100130081176758,0.0021355767527072712,0.007059144973754883,7.209194376714906e-05,euclidean,33,"{'metric': 'euclidean', 'n_neighbors': 33}",0.08311175353665401,0.007418335651314889,0.014084871223811857,0.06603713029569869,0.05660225889621895,0.04545086992073968,0.029653968652610874,33
0.004797029495239258,0.0003937896496879858,0.006605911254882813,0.0004989496154342444,euclidean,35,"{'metric': 'euclidean', 'n_neighbors': 35}",0.08213887444433043,0.004547092662712804,0.013228717473122487,0.0706323724405945,0.05109930557046405,0.04432927251824485,0.030715203951902685,35
0.004683542251586914,0.0007513265341435833,0.006721639633178711,0.0007441396026564412,euclidean,37,"{'metric': 'euclidean', 'n_neighbors': 37}",0.07909679070980635,0.006309266514323397,0.023019968662382984,0.06792249257998972,0.05870230058690851,0.047010163810682196,0.027697204504048473,31
