param_n_estimators,mean_test_score,rank_test_score
20,0.6557338973027281,10
40,0.6753318602618623,8
60,0.6742277253167186,9
80,0.6876792142137651,2
100,0.6854310074022802,4
120,0.686781014436798,3
140,0.678426869356689,7
160,0.6902618712248241,1
180,0.6845631123530095,5
200,0.6812067704423993,6
